	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	movement_time	one_IKI	one_RT	pressed	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
75	1	2	575.0	575.0	625.0	624.0	560.0	559.0	e	3871	534.0	534	[3, 1, 2, 4, 3, 1, 4, 2]	[3, 1, 2, 4, 3, 1, 4, 2]	random	528.0	528.0	560.0	560.0	101	480.0	479.0	0	543.0	543.0
76	1	2	399.0	399.0	607.0	607.0	464.0	464.0	e	3727	436.0	436	[2, 4, 3, 1, 4, 1, 2, 3]	[2, 4, 3, 1, 4, 1, 2, 3]	random	577.0	576.0	512.0	511.0	101	576.0	576.0	0	592.0	592.0
77	1	2	463.0	463.0	928.0	927.0	543.0	543.0	e	4752	436.0	436	[4, 2, 1, 3, 2, 1, 3, 4]	[4, 2, 1, 3, 2, 1, 3, 4]	random	880.0	880.0	785.0	783.0	101	593.0	592.0	0	560.0	559.0
78	1	2	592.0	591.0	639.0	639.0	432.0	432.0	e	3455	663.0	663	[1, 3, 2, 4, 3, 2, 1, 4]	[1, 3, 2, 4, 3, 2, 1, 4]	random	416.0	415.0	416.0	415.0	101	416.0	416.0	0	544.0	543.0
79	1	2	416.0	415.0	592.0	591.0	399.0	399.0	e	3296	422.0	422	[4, 1, 2, 3, 1, 2, 3, 4]	[4, 1, 2, 3, 1, 2, 3, 4]	random	464.0	463.0	528.0	527.0	101	465.0	464.0	0	432.0	431.0
80	1	3	464.0	463.0	496.0	495.0	416.0	415.0	e	3216	414.0	414	[1, 3, 4, 2, 4, 1, 2, 3]	[1, 3, 4, 2, 4, 1, 2, 3]	random	416.0	415.0	400.0	399.0	101	527.0	527.0	0	497.0	496.0
81	1	3	543.0	543.0	432.0	431.0	496.0	495.0	e	3344	535.0	535	[2, 4, 1, 3, 1, 3, 4, 2]	[2, 4, 1, 3, 1, 3, 4, 2]	random	481.0	480.0	528.0	527.0	101	367.0	367.0	0	497.0	496.0
82	1	3	528.0	527.0	592.0	591.0	560.0	559.0	e	3936	311.0	311	[1, 2, 4, 3, 4, 2, 3, 1]	[1, 2, 4, 3, 4, 2, 3, 1]	random	624.0	623.0	640.0	639.0	101	527.0	527.0	0	465.0	464.0
83	1	3	592.0	591.0	607.0	607.0	417.0	416.0	e	3872	438.0	438	[4, 2, 3, 1, 2, 4, 3, 1]	[4, 2, 3, 1, 2, 4, 3, 1]	random	624.0	623.0	576.0	575.0	101	479.0	479.0	0	577.0	576.0
84	1	3	640.0	639.0	800.0	799.0	431.0	431.0	e	3680	375.0	375	[1, 2, 3, 4, 3, 2, 1, 4]	[1, 2, 3, 4, 3, 2, 1, 4]	random	448.0	447.0	464.0	463.0	101	449.0	448.0	0	448.0	447.0
