	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	max_time	movement_time	one_IKI	one_RT	pressed	reward	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
72	1	3	416.0	415.0	319.0	319.0	305.0	304.0	e	2982	2495	465.0	465	[3, 2, 4, 1, 2, 4, 3, 1]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	368.0	367.0	352.0	351.0	101	416.0	415.0	0	319.0	319.0
73	0	3							e	2956	350	445.0	445	[4, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A					101			0		350.0
74	0	3		352.0	400.0	399.0	319.0	319.0	e	2956	2688	398.0	398	[3, 2, 4, 1, 2, 4, 3, 2]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	400.0	399.0	416.0	415.0	101	449.0	448.0	0	351.0	351.0
75	0	3	415.0	415.0	353.0	352.0	288.0	287.0	e	2956	2544	459.0	459	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	401.0	400.0	447.0	447.0	101	319.0	319.0	1	321.0	320.0
76	1	3	385.0	384.0	320.0	319.0	319.0	319.0	e	2956	2496	429.0	429	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	400.0	399.0	448.0	447.0	101	305.0	304.0	0	319.0	319.0
77	0	3	448.0	447.0	336.0	335.0	448.0	447.0	e	2941	2735	379.0	379	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	352.0	351.0	320.0	319.0	101	432.0	431.0	1	399.0	399.0
78	0	3	447.0	447.0	384.0	383.0	399.0	399.0	e	2941	2783	347.0	347	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	336.0	336.0	337.0	336.0	101	401.0	399.0	1	479.0	479.0
79	0	3	545.0	544.0	320.0	319.0	336.0	335.0	e	2941	2800	428.0	428	[3, 2, 4, 1, 2, 4, 3, 1]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	447.0	447.0	433.0	432.0	101	400.0	399.0	1	319.0	319.0
80	0	3							e	2941	688	466.0	466	[4, 3, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A					101		320.0	0	367.0	367.0
81	0	3		351.0	401.0	399.0	464.0	463.0	e	2941	2767	426.0	426	[3, 2, 4, 1, 2, 4, 3, 2]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	384.0	383.0	431.0	431.0	101	416.0	415.0	0	319.0	319.0
82	0	3	447.0	447.0	319.0	319.0	433.0	432.0	e	2941	2735	379.0	379	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	336.0	336.0	305.0	304.0	101	416.0	415.0	1	479.0	479.0
83	0	3	399.0	399.0	383.0	383.0	257.0	256.0	e	2941	2655	411.0	411	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	496.0	496.0	465.0	464.0	101	320.0	319.0	1	335.0	335.0
84	0	3							e	2941	304	412.0	412	[4, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A					101			0		304.0
85	0	3	384.0	383.0	335.0	335.0	273.0	272.0	e	2941	2543	500.0	500	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	416.0	415.0	432.0	431.0	101	335.0	335.0	1	368.0	368.0
86	0	3			320.0	319.0	257.0	256.0	e	2941	2096	513.0	513	[1, 4, 2, 3, 1, 3, 3]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C		464.0	416.0	416.0	101	320.0	319.0	0	319.0	318.0
87	0	3	416.0	415.0	353.0	352.0	448.0	447.0	e	2941	2687	427.0	427	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	351.0	351.0	304.0	304.0	101	336.0	335.0	1	479.0	479.0
88	1	3	384.0	384.0	336.0	335.0	288.0	287.0	e	2941	2432	429.0	429	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	433.0	432.0	384.0	383.0	101	335.0	335.0	0	272.0	272.0
