	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	movement_time	one_IKI	one_RT	pressed	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
140	1	4	592.0	590.0	752.0	750.0	368.0	366.0	e	3984	555.0	555	[1, 3, 2, 4, 3, 2, 4, 1]	[1, 3, 2, 4, 3, 2, 4, 1]	random	848.0	846.0	384.0	382.0	247	368.0	366.0	0	672.0	670.0
141	1	4	464.0	462.0	672.0	670.0	432.0	430.0	e	3632	698.0	698	[3, 1, 2, 4, 1, 2, 3, 4]	[3, 1, 2, 4, 1, 2, 3, 4]	random	512.0	510.0	512.0	510.0	247	496.0	494.0	0	544.0	542.0
142	1	4	688.0	686.0	608.0	606.0	496.0	494.0	e	3841	523.0	523	[2, 4, 1, 3, 2, 4, 1, 3]	[2, 4, 1, 3, 2, 4, 1, 3]	random	560.0	558.0	496.0	494.0	247	496.0	494.0	0	497.0	495.0
143	1	4	528.0	526.0	608.0	606.0	384.0	382.0	e	3551	715.0	715	[3, 1, 2, 4, 1, 2, 3, 4]	[3, 1, 2, 4, 1, 2, 3, 4]	random	496.0	494.0	544.0	542.0	247	416.0	414.0	0	575.0	573.0
144	0	4							e	1056	522.0	522	[4, 1, 4]	[4, 1, 3, 2, 4, 2, 1, 3]	random					247		622.0	0	432.0	430.0
145	1	4	496.0	494.0	544.0	542.0	432.0	430.0	e	3425	516.0	516	[2, 3, 4, 1, 4, 1, 2, 3]	[2, 3, 4, 1, 4, 1, 2, 3]	random	544.0	542.0	448.0	446.0	247	432.0	430.0	0	529.0	527.0
146	1	4	592.0	590.0	912.0	910.0	576.0	574.0	e	5600	586.0	586	[1, 2, 4, 3, 1, 3, 4, 2]	[1, 2, 4, 3, 1, 3, 4, 2]	random	576.0	574.0	1840.0	1838.0	247	672.0	670.0	0	432.0	430.0
147	1	4	449.0	447.0	592.0	590.0	368.0	366.0	e	4065	538.0	538	[1, 4, 3, 2, 4, 1, 3, 2]	[1, 4, 3, 2, 4, 1, 3, 2]	random	848.0	846.0	592.0	590.0	247	736.0	734.0	0	480.0	478.0
148	1	4	768.0	766.0	656.0	654.0	368.0	366.0	e	3887	539.0	539	[4, 1, 2, 3, 2, 3, 1, 4]	[4, 1, 2, 3, 2, 3, 1, 4]	random	592.0	590.0	672.0	670.0	247	464.0	462.0	0	367.0	365.0
149	1	4	736.0	734.0	560.0	558.0	1392.0	1390.0	e	4640	1114.0	1114	[3, 2, 1, 4, 2, 3, 1, 4]	[3, 2, 1, 4, 2, 3, 1, 4]	random	592.0	590.0	432.0	430.0	247	464.0	462.0	0	464.0	462.0
150	0	4						590.0	e	1343	1067.0	1067	[3, 2, 1, 3]	[3, 2, 1, 4, 1, 2, 4, 3]	random					247	336.0	334.0	0	415.0	413.0
151	1	4	400.0	398.0	544.0	542.0	464.0	462.0	e	3680	529.0	529	[3, 2, 4, 1, 4, 1, 2, 3]	[3, 2, 4, 1, 4, 1, 2, 3]	random	512.0	510.0	800.0	798.0	247	592.0	590.0	0	368.0	366.0
152	1	4	576.0	574.0	560.0	558.0	368.0	366.0	e	3552	491.0	491	[1, 4, 2, 3, 4, 2, 1, 3]	[1, 4, 2, 3, 4, 2, 1, 3]	random	640.0	638.0	496.0	494.0	247	416.0	414.0	0	496.0	494.0
153	1	4	464.0	462.0	480.0	478.0	480.0	478.0	e	3841	538.0	538	[1, 3, 4, 2, 1, 2, 3, 4]	[1, 3, 4, 2, 1, 2, 3, 4]	random	560.0	558.0	496.0	494.0	247	624.0	622.0	0	737.0	735.0
154	1	4	416.0	414.0	544.0	542.0	480.0	478.0	e	4064	602.0	602	[1, 3, 4, 2, 4, 3, 1, 2]	[1, 3, 4, 2, 4, 3, 1, 2]	random	576.0	574.0	592.0	590.0	247	624.0	622.0	0	832.0	830.0
155	1	4	1104.0	1102.0	800.0	798.0	543.0	541.0	e	3999	571.0	571	[3, 2, 1, 4, 3, 2, 1, 4]	[3, 2, 1, 4, 3, 2, 1, 4]	random	400.0	398.0	352.0	350.0	247	352.0	350.0	0	448.0	446.0
156	1	4	608.0	606.0	448.0	446.0	400.0	398.0	e	3440	570.0	570	[1, 4, 2, 3, 1, 2, 3, 4]	[1, 4, 2, 3, 1, 2, 3, 4]	random	512.0	510.0	544.0	542.0	247	464.0	462.0	0	464.0	462.0
157	0	4			976.0	974.0	368.0	366.0	e	2944	458.0	458	[1, 3, 2, 4, 3, 2]	[1, 3, 2, 4, 3, 1, 2, 4]	random				398.0	247	416.0	414.0	0	784.0	782.0
158	0	4			640.0	638.0	448.0	446.0	e	4001	993.0	993	[3, 4, 2, 1, 3, 1, 3]	[3, 4, 2, 1, 3, 1, 4, 2]	random		718.0	801.0	799.0	247	752.0	750.0	0	640.0	637.0
159	1	4	416.0	414.0	1056.0	1054.0	672.0	670.0	e	4304	512.0	512	[4, 2, 3, 1, 4, 1, 2, 3]	[4, 2, 3, 1, 4, 1, 2, 3]	random	544.0	542.0	768.0	766.0	247	384.0	382.0	0	464.0	462.0
