	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	max_time	movement_time	one_IKI	one_RT	pressed	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
70	0	2			304.0	304.0	336.0	336.0	e	2736	1808	475.0	475	[1, 4, 2, 3, 1, 3, 1]	[1, 4, 2, 3, 1, 3, 4, 2]	A		272.0	368.0	368.0	123	256.0	256.0	0	272.0	272.0
71	1	2	208.0	208.0	320.0	320.0	544.0	544.0	e	2736	1888	382.0	382	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C	368.0	368.0	192.0	192.0	123	176.0	176.0	0	80.0	80.0
72	0	3	496.0	496.0	336.0	336.0	288.0	288.0	e	2734	2464	403.0	403	[1, 4, 2, 3, 1, 3, 4, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	A	448.0	448.0	304.0	304.0	123	272.0	272.0	1	320.0	320.0
73	0	3		416.0	320.0	320.0	592.0	591.0	e	2734	2304	301.0	301	[2, 1, 4, 2, 3, 1, 4, 2]	[2, 1, 4, 2, 3, 1, 4, 3]	B	272.0	272.0	320.0	320.0	123	208.0	208.0	0	176.0	176.0
74	1	3	368.0	368.0	336.0	336.0	224.0	224.0	e	2734	1984	334.0	334	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C	336.0	336.0	272.0	272.0	123	304.0	304.0	0	144.0	143.0
75	0	3							e	2702	0		349	[2]	[1, 4, 2, 3, 1, 3, 4, 2]	A					123			0		
76	0	3	400.0	400.0	336.0	336.0	304.0	304.0	e	2702	2576	348.0	348	[1, 4, 2, 3, 1, 3, 4, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	A	384.0	384.0	576.0	576.0	123	336.0	336.0	1	240.0	240.0
77	1	3	384.0	384.0	320.0	320.0	208.0	208.0	e	2702	2160	494.0	494	[1, 4, 2, 3, 1, 3, 4, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	A	384.0	384.0	384.0	384.0	123	288.0	288.0	0	192.0	192.0
78	1	3	480.0	480.0	432.0	432.0	496.0	496.0	e	2686	2352	333.0	333	[2, 1, 4, 2, 3, 1, 4, 3]	[2, 1, 4, 2, 3, 1, 4, 3]	B	256.0	256.0	288.0	288.0	123	240.0	240.0	0	160.0	160.0
79	0	3			464.0	464.0	352.0	352.0	e	2672	1408	490.0	490	[1, 4, 2, 3, 1, 4]	[1, 4, 2, 3, 1, 3, 4, 2]	A				144.0	123	320.0	320.0	0	128.0	128.0
