	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	max_time	movement_time	one_IKI	one_RT	pressed	reward	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
23	1	1	320.0	318.0	320.0	318.0	336.0	334.0	e	3402.0	2352.0	444.0	444.0	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	448.0	446.0	320.0	318.0	246	304.0	302.0	0	304.0	302.0
24	0	1		238.0	416.0	414.0	304.0	302.0	e	3402.0	2688.0	445.0	445.0	[2, 1, 4, 2, 3, 1, 4, 2]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	416.0	414.0	512.0	510.0	246	416.0	414.0	0	384.0	382.0
25	1	1	320.0	318.0	352.0	350.0	336.0	334.0	e	3402.0	2448.0	479.0	479.0	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	352.0	350.0	352.0	350.0	246	336.0	334.0	0	400.0	398.0
26	1	1	480.0	478.0	320.0	318.0	320.0	318.0	e	2972.0	2336.0	362.0	362.0	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	336.0	334.0	320.0	318.0	246	288.0	286.0	0	272.0	270.0
27	1	1	288.0	286.0	320.0	318.0	304.0	302.0	e	2940.0	2304.0	362.0	362.0	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	288.0	286.0	448.0	446.0	246	304.0	302.0	0	352.0	350.0
28	1	1	256.0	254.0	336.0	333.0	320.0	318.0	e	2912.0	2351.0	442.0	442.0	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	480.0	478.0	304.0	302.0	246	336.0	334.0	0	319.0	317.0
29	0	1	432.0	430.0	336.0	334.0	304.0	302.0	e	2864.0	2656.0	492.0	492.0	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	368.0	366.0	384.0	382.0	246	448.0	446.0	1	384.0	382.0
30	1	1	256.0	254.0	305.0	303.0	320.0	317.0	e	2864.0	2239.0	396.0	396.0	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	448.0	446.0	287.0	285.0	246	320.0	318.0	0	303.0	301.0
31	0	1	464.0	462.0	368.0	366.0	304.0	302.0	e	2861.0	2464.0	411.0	411.0	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	336.0	334.0	368.0	366.0	246	320.0	318.0	1	304.0	302.0
32	0	1			432.0	430.0	320.0	318.0	e	2861.0	1615.0	332.0	332.0	[2, 1, 4, 2, 3, 4]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A				270.0	246	304.0	302.0	0	288.0	286.0
33	1	1	256.0	254.0	304.0	302.0	304.0	302.0	e	2861.0	2080.0	381.0	381.0	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	384.0	382.0	304.0	302.0	246	256.0	254.0	0	272.0	270.0
34	0	1						302.0	e	2829.0	880.0	331.0	331.0	[4, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B					246	240.0	238.0	0	336.0	334.0
35	1	1	208.0	206.0	480.0	478.0	304.0	302.0	e	2829.0	2192.0	401.0	401.0	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	240.0	238.0	320.0	318.0	246	272.0	270.0	0	368.0	366.0
36	1	2	224.0	222.0	352.0	350.0	320.0	318.0	e	2829.0	2305.0	410.0	410.0	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	256.0	254.0	352.0	350.0	246	369.0	367.0	0	432.0	430.0
37	1	2	224.0	222.0	352.0	350.0	336.0	334.0	e	2795.0	2128.0	312.0	312.0	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	288.0	286.0	320.0	318.0	246	304.0	302.0	0	304.0	302.0
38	1	2	368.0	366.0	304.0	302.0	255.0	253.0	e	2753.0	2175.0	457.0	457.0	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	336.0	334.0	288.0	286.0	246	320.0	318.0	0	304.0	302.0
39	0	2	304.0	302.0	320.0	318.0	320.0	318.0	e	2761.0	2304.0	505.0	505.0	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	480.0	478.0	352.0	350.0	246	256.0	254.0	1	272.0	270.0
40	1	2	208.0	206.0	336.0	334.0	320.0	318.0	e	2761.0	2112.0	363.0	363.0	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	272.0	270.0	352.0	350.0	246	336.0	334.0	0	288.0	286.0
41	1	2	224.0	222.0	448.0	446.0	272.0	270.0	e	2737.0	2145.0	377.0	377.0	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	240.0	238.0	353.0	351.0	246	304.0	302.0	0	304.0	302.0
42	1	2	304.0	302.0	304.0	302.0	336.0	334.0	e	2704.0	2112.0	346.0	346.0	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	272.0	270.0	336.0	334.0	246	304.0	302.0	0	256.0	254.0
43	0	2	448.0	446.0	288.0	286.0	320.0	318.0	e	2702.0	2480.0	601.0	601.0	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	464.0	462.0	320.0	318.0	246	336.0	334.0	1	304.0	302.0
44	1	2	224.0	222.0	320.0	318.0	304.0	302.0	e	2702.0	2096.0	458.0	458.0	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	368.0	366.0	272.0	270.0	246	352.0	350.0	0	256.0	254.0
